content,score,label,length,tokens,adjectives,verbs,actionable,feedback_type
"I would give this 5 star, but one key flaw it knows what I say without me telling it and that's invasion of privacy",1,negative,115,"['would', 'give', 'star', 'one', 'key', 'flaw', 'knows', 'say', 'without', 'telling', 'invasion', 'privacy']",['key'],"['give', 'knows', 'say', 'telling']",False,[]
This is a completely useless app. Don't download it if you want to waste your time,1,negative,82,"['completely', 'useless', 'app', 'download', 'want', 'waste', 'time']",['useless'],"['download', 'want', 'waste']",False,['request']
used to be good and helpful but it is now all for the money. full of errors for just simple inquiries. also forcing you all the upgrade to paid higher version.,1,negative,159,"['used', 'good', 'helpful', 'money', 'full', 'errors', 'simple', 'inquiries', 'also', 'forcing', 'upgrade', 'paid', 'higher', 'version']","['good', 'helpful', 'full', 'simple', 'higher']","['used', 'forcing', 'paid']",False,['pricing']
fi7dhc 88 is le ga tx existing seats height ya q richh distal crystal hai ram custodial att exer hun dj gym dj xun dj bir guruv citiz iska,1,negative,138,"['le', 'ga', 'tx', 'existing', 'seats', 'height', 'ya', 'q', 'richh', 'distal', 'crystal', 'hai', 'ram', 'custodial', 'att', 'exer', 'hun', 'dj', 'gym', 'dj', 'xun', 'dj', 'bir', 'guruv', 'citiz', 'iska']",[],['existing'],False,[]
when I needed it most it says you have reached your limit....duhhhhh,1,negative,68,"['needed', 'says', 'reached', 'limit', 'duhhhhh']","['most', 'duhhhhh']","['needed', 'says', 'reached']",False,[]
gone significantly downhill since the early days when it was exceptional. go do claude these days.,1,negative,98,"['gone', 'significantly', 'downhill', 'since', 'early', 'days', 'exceptional', 'go', 'claude', 'days']","['early', 'exceptional']","['gone', 'go', 'claude']",False,[]
every time an error pops up,1,negative,27,"['every', 'time', 'error', 'pops']",[],['pops'],False,['bug']
"has a limit access to send pictures and needed to pay, I thought it was for free but it is nice by the way",2,negative,106,"['limit', 'access', 'send', 'pictures', 'needed', 'pay', 'thought', 'free', 'nice', 'way']","['free', 'nice']","['has', 'send', 'needed', 'pay', 'thought']",False,['pricing']
I am just starting to use and say the limit is reached for chats,1,negative,64,"['starting', 'use', 'say', 'limit', 'reached', 'chats']",[],"['starting', 'use', 'say', 'reached']",False,[]
I couldn't download the P.D.F and others that I requested for. that's a problem that needs fixing,1,negative,97,"['download', 'p', 'f', 'others', 'requested', 'problem', 'needs', 'fixing']",[],"['download', 'requested', 'fixing']",False,[]
I can't remove the popup that says I've reached the free limit for chats with images and it annoys me while I'm reading the conversation.,2,negative,137,"['remove', 'popup', 'says', 'reached', 'free', 'limit', 'chats', 'images', 'annoys', 'reading', 'conversation']",['free'],"['remove', 'says', 'reached', 'annoys', 'reading']",False,['pricing']
i want to delet my account but there I'm facing a problem,1,negative,57,"['want', 'delet', 'account', 'facing', 'problem']",[],"['want', 'delet', 'facing']",False,['request']
it is giving the answers very very very slowly I can't waste my time by using this bloody app,2,negative,93,"['giving', 'answers', 'slowly', 'waste', 'time', 'using', 'bloody', 'app']",['bloody'],"['giving', 'waste', 'using']",False,[]
the app is consistently update but there's always this issue where some of messages disappearing and the app notified that the messages were never sent even though chatgpt already generated reply to question. it's so frustrating because I have regenerate new reply from chatgpt which is quite different than the last one. The other worst issue is the sudden notification prompted up on the main screen when I have connection issue while I'm still typing. it's annoying and I have to retype again.,1,negative,496,"['app', 'consistently', 'update', 'always', 'issue', 'messages', 'disappearing', 'app', 'notified', 'messages', 'never', 'sent', 'even', 'though', 'chatgpt', 'already', 'generated', 'reply', 'question', 'frustrating', 'regenerate', 'new', 'reply', 'chatgpt', 'quite', 'different', 'last', 'one', 'worst', 'issue', 'sudden', 'notification', 'prompted', 'main', 'screen', 'connection', 'issue', 'still', 'typing', 'annoying', 'retype']","['update', 'frustrating', 'new', 'different', 'last', 'other', 'worst', 'sudden', 'main', 'annoying']","[""'s"", 'disappearing', 'notified', 'sent', 'generated', 'regenerate', 'prompted', 'have', 'typing', 'have', 'retype']",True,"['request', 'ux']"
very nice and good app,1,negative,22,"['nice', 'good', 'app']","['nice', 'good']",[],False,[]
"so it has begun! Collection of user data complete, now use that stolen data to show them ads. Cheap move chatgpt.",1,negative,113,"['begun', 'collection', 'user', 'data', 'complete', 'use', 'stolen', 'data', 'show', 'ads', 'cheap', 'move', 'chatgpt']","['complete', 'Cheap']","['begun', 'use', 'stolen', 'show']",False,[]
